type,formula,params,p_values,r_squared
linear,V00MBMSFMLOAD ~ V00MBMNFMLOAD,"Intercept        0.005963
V00MBMNFMLOAD    1.020190
dtype: float64","Intercept        0.002565
V00MBMNFMLOAD    0.000000
dtype: float64",0.8811337952407851
linear,V00MBMSFMLOAD ~ V00MBMNFMLOAD + V00MBMPFMLOAD,"Intercept        0.005372
V00MBMNFMLOAD    0.542274
V00MBMPFMLOAD    0.162266
dtype: float64","Intercept        2.097427e-03
V00MBMNFMLOAD    7.306720e-20
V00MBMPFMLOAD    1.321223e-15
dtype: float64",0.8598612202652974
linear,V00MBMNFMLOAD ~ V00MBMPFMLOAD,"Intercept        0.000177
V00MBMPFMLOAD    0.342193
dtype: float64","Intercept        0.793669
V00MBMPFMLOAD    0.000000
dtype: float64",0.9794880485106289
linear,V00MBMNFMLOAD ~ V00MBMPFMLOAD + V00MBMSFMLOAD,"Intercept       -0.000125
V00MBMPFMLOAD    0.322343
V00MBMSFMLOAD    0.049267
dtype: float64","Intercept        8.130456e-01
V00MBMPFMLOAD    0.000000e+00
V00MBMSFMLOAD    7.306720e-20
dtype: float64",0.9847569858509921
linear,V00MBMPFMLOAD ~ V00MBMNFMLOAD,"Intercept        0.003205
V00MBMNFMLOAD    2.862385
dtype: float64","Intercept        0.10216
V00MBMNFMLOAD    0.00000
dtype: float64",0.9794880485106289
linear,V00MBMPFMLOAD ~ V00MBMNFMLOAD + V00MBMSFMLOAD,"Intercept        0.001269
V00MBMNFMLOAD    2.771790
V00MBMSFMLOAD    0.126768
dtype: float64","Intercept        4.114230e-01
V00MBMNFMLOAD    0.000000e+00
V00MBMSFMLOAD    1.321223e-15
dtype: float64",0.9846607287481376
quadratic,V00MBMSFMLOAD ~ I(V00MBMNFMLOAD**2),"Intercept                0.027428
I(V00MBMNFMLOAD ** 2)    0.665775
dtype: float64","Intercept                4.478634e-19
I(V00MBMNFMLOAD ** 2)    0.000000e+00
dtype: float64",0.7091906227719629
quadratic,V00MBMSFMLOAD ~ V00MBMNFMLOAD + I(V00MBMNFMLOAD**2),"Intercept                0.005598
V00MBMNFMLOAD            1.064789
I(V00MBMNFMLOAD ** 2)   -0.035816
dtype: float64","Intercept                0.004651
V00MBMNFMLOAD            0.000000
I(V00MBMNFMLOAD ** 2)    0.002009
dtype: float64",0.881502228728168
quadratic,V00MBMSFMLOAD ~ V00MBMNFMLOAD + V00MBMPFMLOAD + I(V00MBMNFMLOAD**2) + I(V00MBMPFMLOAD**2),"Intercept                0.005527
V00MBMNFMLOAD            0.839421
V00MBMPFMLOAD            0.028928
I(V00MBMNFMLOAD ** 2)   -0.092967
I(V00MBMPFMLOAD ** 2)    0.020939
dtype: float64","Intercept                1.519965e-03
V00MBMNFMLOAD            4.069568e-12
V00MBMPFMLOAD            5.015603e-01
I(V00MBMNFMLOAD ** 2)    4.382251e-03
I(V00MBMPFMLOAD ** 2)    4.096603e-05
dtype: float64",0.8606670122161373
quadratic,V00MBMSFMLOAD ~ V00MBMNFMLOAD + I(V00MBMPFMLOAD**2),"Intercept                0.005915
V00MBMNFMLOAD            0.861736
I(V00MBMPFMLOAD ** 2)    0.016133
dtype: float64","Intercept                 7.469853e-04
V00MBMNFMLOAD            5.024510e-207
I(V00MBMPFMLOAD ** 2)     1.346425e-09
dtype: float64",0.8586184195001715
quadratic,V00MBMNFMLOAD ~ I(V00MBMPFMLOAD**2),"Intercept                0.009457
I(V00MBMPFMLOAD ** 2)    0.091331
dtype: float64","Intercept                1.910271e-09
I(V00MBMPFMLOAD ** 2)    0.000000e+00
dtype: float64",0.8887432400341907
quadratic,V00MBMNFMLOAD ~ V00MBMPFMLOAD + I(V00MBMPFMLOAD**2),"Intercept                0.000209
V00MBMPFMLOAD            0.339397
I(V00MBMPFMLOAD ** 2)    0.000823
dtype: float64","Intercept                0.758338
V00MBMPFMLOAD            0.000000
I(V00MBMPFMLOAD ** 2)    0.312694
dtype: float64",0.9794948497327415
quadratic,V00MBMNFMLOAD ~ V00MBMPFMLOAD + V00MBMSFMLOAD + I(V00MBMPFMLOAD**2) + I(V00MBMSFMLOAD**2),"Intercept                0.000011
V00MBMPFMLOAD            0.346374
V00MBMSFMLOAD           -0.013076
I(V00MBMPFMLOAD ** 2)   -0.004585
I(V00MBMSFMLOAD ** 2)    0.030100
dtype: float64","Intercept                9.833030e-01
V00MBMPFMLOAD            0.000000e+00
V00MBMSFMLOAD            1.933096e-01
I(V00MBMPFMLOAD ** 2)    2.863504e-05
I(V00MBMSFMLOAD ** 2)    3.543774e-13
dtype: float64",0.9850177320148008
quadratic,V00MBMNFMLOAD ~ V00MBMPFMLOAD + I(V00MBMSFMLOAD**2),"Intercept                0.000062
V00MBMPFMLOAD            0.330436
I(V00MBMSFMLOAD ** 2)    0.021839
dtype: float64","Intercept                9.062378e-01
V00MBMPFMLOAD            0.000000e+00
I(V00MBMSFMLOAD ** 2)    1.762936e-27
dtype: float64",0.9849282975396042
quadratic,V00MBMPFMLOAD ~ I(V00MBMNFMLOAD**2),"Intercept                0.052494
I(V00MBMNFMLOAD ** 2)    1.865977
dtype: float64","Intercept                5.123444e-15
I(V00MBMNFMLOAD ** 2)    0.000000e+00
dtype: float64",0.7577133991613797
quadratic,V00MBMPFMLOAD ~ V00MBMNFMLOAD + I(V00MBMNFMLOAD**2),"Intercept                0.000082
V00MBMNFMLOAD            3.369725
I(V00MBMNFMLOAD ** 2)   -0.412239
dtype: float64","Intercept                 9.601710e-01
V00MBMNFMLOAD             0.000000e+00
I(V00MBMNFMLOAD ** 2)    4.515538e-243
dtype: float64",0.9856991258995659
quadratic,V00MBMPFMLOAD ~ V00MBMNFMLOAD + V00MBMSFMLOAD + I(V00MBMNFMLOAD**2) + I(V00MBMSFMLOAD**2),"Intercept               -0.000046
V00MBMNFMLOAD            3.394153
V00MBMSFMLOAD           -0.025385
I(V00MBMNFMLOAD ** 2)   -0.469112
I(V00MBMSFMLOAD ** 2)    0.057253
dtype: float64","Intercept                 9.714399e-01
V00MBMNFMLOAD             0.000000e+00
V00MBMSFMLOAD             2.960608e-01
I(V00MBMNFMLOAD ** 2)    3.902447e-205
I(V00MBMSFMLOAD ** 2)     4.745022e-09
dtype: float64",0.9894889839898552
quadratic,V00MBMPFMLOAD ~ V00MBMNFMLOAD + I(V00MBMSFMLOAD**2),"Intercept                0.002053
V00MBMNFMLOAD            2.924017
I(V00MBMSFMLOAD ** 2)   -0.019561
dtype: float64","Intercept                0.187006
V00MBMNFMLOAD            0.000000
I(V00MBMSFMLOAD ** 2)    0.001187
dtype: float64",0.9843920405207784
cubic,V00MBMSFMLOAD ~ I(V00MBMNFMLOAD**3),"Intercept                0.068089
I(V00MBMNFMLOAD ** 3)    0.153811
dtype: float64","Intercept                 1.593681e-43
I(V00MBMNFMLOAD ** 3)    2.526791e-186
dtype: float64",0.2409269721274805
cubic,V00MBMSFMLOAD ~ V00MBMNFMLOAD + I(V00MBMNFMLOAD**2) + I(V00MBMNFMLOAD**3),"Intercept                0.005658
V00MBMNFMLOAD            1.034384
I(V00MBMNFMLOAD ** 2)    0.000798
I(V00MBMNFMLOAD ** 3)   -0.008079
dtype: float64","Intercept                 4.231263e-03
V00MBMNFMLOAD            7.340926e-280
I(V00MBMNFMLOAD ** 2)     9.766997e-01
I(V00MBMNFMLOAD ** 3)     1.387528e-01
dtype: float64",0.8815867277460099
cubic,V00MBMSFMLOAD ~ V00MBMNFMLOAD + V00MBMPFMLOAD + I(V00MBMNFMLOAD**2) + I(V00MBMPFMLOAD**2) + I(V00MBMNFMLOAD**3) + I(V00MBMPFMLOAD**3),"Intercept                0.005492
V00MBMNFMLOAD            1.613614
V00MBMPFMLOAD           -0.264554
I(V00MBMNFMLOAD ** 2)   -0.464750
I(V00MBMPFMLOAD ** 2)    0.078351
I(V00MBMNFMLOAD ** 3)    0.039440
I(V00MBMPFMLOAD ** 3)   -0.002933
dtype: float64","Intercept                1.581671e-03
V00MBMNFMLOAD            2.543819e-13
V00MBMPFMLOAD            5.854825e-03
I(V00MBMNFMLOAD ** 2)    6.772847e-07
I(V00MBMPFMLOAD ** 2)    2.272723e-03
I(V00MBMNFMLOAD ** 3)    2.159944e-05
I(V00MBMPFMLOAD ** 3)    1.993234e-01
dtype: float64",0.8614837419258861
